count	reward_sum	squared_reward_sum	length
0	-85.29196629292947	10003.784989228016	105
1	-83.6624260701241	10004.247582172697	109
2	-80.52628262079699	10005.314876385097	113
3	-86.63816771608022	10004.804673262246	118
4	-81.66253974922779	10008.037228812602	177
5	-82.02088677304737	10007.761337375621	181
6	-80.94598876303473	10004.85410560176	111
7	-83.2654408606956	10004.016943534381	111
8	-87.41817184568266	10011.559073656705	232
9	-85.30913592303479	10003.761000451394	109
10	-83.01322554853056	10004.277311881973	108
11	-83.93000058088266	10004.075268086326	106
12	-81.27252505771678	10004.778946956589	113
13	-80.90009251888716	10008.375318228984	163
14	-79.8063143926527	10005.250465336921	117
15	-81.99081213949552	10004.450919262916	110
16	-106.69092689974572	10007.510451031329	136
17	-81.9296078953219	10006.793584097439	172
18	-87.6734181205141	10010.15537260245	176
19	-87.37409841643708	10002.557552701695	110
20	-80.65907288321267	10007.014404900416	166
21	-89.95673383415925	10003.022498129398	105
22	-81.24261557714806	10007.857541760013	177
23	-80.59876489576499	10008.036459273444	167
24	-85.64209338614057	10010.753623219352	187
25	-92.98048468227651	10013.190125225654	199
26	-82.59010520566288	10006.410560654647	195
27	-81.23405935384271	10008.748411820106	163
28	-80.3697764218737	10007.111259317162	175
29	-88.16527988181825	10003.19504833501	116
30	-79.90302966921462	10007.451973025372	162
31	-77.91690078858184	10007.868983191938	157
32	-79.42183312238257	10006.322322149477	197
33	-77.89382910039598	10007.501185354826	172
34	-80.01953813893189	10007.267011467413	182
35	-90.49129309761825	10003.066697035922	127
36	-91.4529760032031	10004.749036814264	102
37	-88.66671328125243	10008.020330339941	288
38	-80.23505772487272	10007.103251356726	195
39	-80.74013328568287	10005.990493961554	206
40	-77.6491777896844	10006.37041329606	201
41	-81.08277054748174	10007.63737076383	189
42	-84.58539511258331	10005.456358796728	237
43	-83.7098084961285	10006.706676237938	203
44	-79.99338709462322	10007.77649595178	172
45	-91.38408509595119	10006.792908719419	256
46	-82.17314566292555	10003.985717667141	127
47	-83.08192098522164	10008.421395158086	176
48	-88.82572524546805	10002.80189346168	122
49	-84.67325245482043	10007.283321082503	191
50	-85.28824190307144	10007.356606240684	206
51	-81.88356844689187	10006.905939364207	197
52	-83.42625924526071	10007.079985142223	214
53	-85.12052594624429	10008.173580775954	227
54	-90.55027387209479	10003.95390134952	116
55	-79.90408319680884	10005.558873191205	197
56	-78.96184265935479	10006.098134671593	193
57	-87.25430240586019	10003.05881580137	103
58	-84.83165276594897	10008.581314142572	195
59	-84.5047576925603	10008.201563299841	201
60	-102.95669947664514	10009.431385239457	186
61	-91.91875608807362	10002.500434525342	109
62	-87.73222863598866	10002.590138056343	106
63	-88.30555681888086	10003.13536667486	112
64	-169.22028075367905	37.83560092917691	2000
65	-101.23775070157635	10009.71053174639	420
66	-87.27154437715784	10007.300714261046	267
67	-63.11885511009635	10009.645612127668	275
68	-91.4221693540931	10008.068112433048	332
69	-87.48668509232145	10002.956234480553	106
70	-83.92565887748941	10007.044218327937	219
71	-85.77616836875066	10003.695563784846	102
72	-85.65400193487662	10009.080932323912	367
73	-92.2413553428339	10004.34971461034	197
74	-85.03367906528902	10003.468864600281	108
75	-81.31702347471555	10005.65510921737	204
76	-91.36648672035773	10008.056226880883	308
77	-86.98136018319838	10006.658558829344	273
78	-81.66078935381586	10007.270737492137	203
79	-80.50142016377269	10005.89910394993	206
80	-86.15838414938904	10003.057662742238	109
81	-81.90467871038425	10006.324873009684	222
82	-145.65293586261853	44.055600799592234	2000
83	-85.73342744526798	10008.323798831572	385
84	-54.684894979434674	10011.864885410077	404
85	-88.92519737083722	10002.154756030788	138
86	-159.71187284503554	36.259549847507756	2000
87	-87.51242899226574	10002.466553739805	133
88	-76.98625510284903	10005.872762652383	157
89	-102.59744722626994	10008.81041636101	470
