count	reward_sum	squared_reward_sum	length
0	-39.11364752822536	10018.3019134909	306
1	-84.59346951211835	10007.136250028809	192
2	-79.35469708269872	10007.209800488898	159
3	-84.74643355993075	10004.234561470745	108
4	-75.60632230333682	10007.635961831375	150
5	-69.56154953160437	10007.9613136945	208
6	-128.3792300133395	42.758504692051105	2000
7	-107.29372740205993	10009.513100744443	274
8	-102.24798546111809	10001.826162095374	236
9	-112.72939875257647	10007.697927565943	307
10	-121.22599060061366	28.931757775315315	2000
11	-104.06285503112683	10007.754073023896	248
12	-93.73111864569277	10001.82503784293	119
13	-117.08962537851619	22.425044636389842	2000
14	-115.44447927097785	10003.386523632274	82
15	-108.37224297488656	10002.748634932424	49
16	-107.7265762701627	10001.92349126976	48
17	-108.96789299184518	10001.922544436013	49
18	-102.91622264419307	10006.603645076464	223
19	-85.03743942002772	10003.951175237837	248
20	-106.28825372134635	10008.013491892409	286
21	-98.4134898760968	10006.845340903514	170
22	-95.11479004839944	10002.81425650336	114
23	-111.87388562671649	10007.75415995173	334
24	-116.01604438883803	10003.489907743862	83
25	-79.79016837854859	10013.985545141548	633
26	-96.1856564748027	10005.90822560746	146
27	-91.25029815321798	10002.66594381492	88
28	-124.10211785439613	10012.008182488182	436
29	-100.2716035650202	10007.571473518681	214
30	-107.88134399494456	10010.442776080536	606
31	-97.24811172972178	10007.55099581231	182
32	-77.04859645584598	10006.270783476984	270
33	-90.53265176474511	10003.05803714207	108
34	-106.07931673824602	10011.081782519337	345
35	-109.04221702044114	10009.134778324475	280
36	-174.44547950011776	10030.173484967472	1438
37	-92.34081563099654	37.285631256550936	2000
38	-92.31397768764543	10002.834159235752	115
39	-100.48486178700907	10009.05820350583	164
40	-93.11999020178672	10003.525270978736	91
41	-93.70604799958504	10002.853669475044	101
42	-93.87316369465405	10004.419895391084	96
43	-88.00854943360171	10005.053510349351	225
44	-94.64069660162905	10003.383426649685	114
45	-100.51994968426072	10007.786399927045	177
46	-104.36686265916885	30.106778893348352	2000
47	-88.85858662697513	10003.118122894397	105
48	-114.67796778624133	10009.979292611399	424
49	-96.18789278815149	10006.8858686493	162
50	-99.25775119292742	10012.577551283124	421
51	-90.37822671401851	10003.971597082047	142
52	-109.87446452362012	10017.02052803657	630
