count	reward_sum	squared_reward_sum	length
0	-31.47891141559529	2.663768148878576	2000
1	-30.727319031597677	1.3209425530090844	2000
2	-33.204141894905355	2.5723495312022733	2000
3	-32.76279063092595	2.3209356166388817	2000
4	-33.7552814754237	2.382514828991227	2000
5	-138.87909295182234	10012.592461339962	304
6	-187.20144155133556	10008.879429327726	1509
7	-110.85823043962164	10001.968485064708	136
8	-98.607066567071	10003.0728941311	93
9	-100.47632831029318	10004.496535243565	100
10	-40.41398134451813	4.918413637817817	2000
11	-35.78675694508529	7.150940745737653	2000
12	-41.34998690250012	4.206848294105294	2000
13	-58.395999174144166	8.34619035217203	2000
14	-112.96111736393391	10002.677117769148	122
15	-114.20050056471487	10003.219218577207	74
16	-114.17718040342888	10002.671443407218	123
17	-109.53402503664138	10001.349871077693	85
18	-109.54058700636506	10001.444204358908	70
19	-104.62003820063252	10000.387919382238	82
20	-104.60919489371314	10000.388938372927	130
21	-102.97602591878154	10000.28762054988	95
22	-101.38969450658705	10000.147600683606	99
23	-34.909521815854525	2.9610196029160414	2000
24	-31.64033563969388	2.4159709410025876	2000
25	-24.62160516295499	1.4803338700732713	2000
26	-96.73150867567479	10001.859604542373	164
27	-94.51144565353353	10002.250433772457	189
28	-90.90573427641955	10005.027346856268	121
29	-99.87087508169877	10000.405989801671	71
30	-105.60206092853676	10001.122020298155	52
31	-97.734168470351	10002.23624034053	123
32	-102.8286795429234	10000.50254044212	62
33	-107.96893017390774	10002.268362281682	48
34	-106.58517622953303	10001.294879152949	59
35	-106.20393543102406	10001.511256410738	60
36	-106.65647495622142	10002.208213083768	58
37	-109.05061082952344	10002.463127457691	58
38	-49.39407966088969	11.036741571979414	2000
39	-39.71493207130762	4.098842318752769	2000
40	-129.31968469157016	10019.517574869726	1085
41	-117.54489416358032	10005.279820049927	83
42	-103.00981966069172	10002.924368084303	134
43	-119.15212721310219	10005.153648222971	92
44	-111.14791868978295	10002.421573511652	131
45	-107.23063539627199	10002.728003106431	112
46	-101.7685226991714	10002.122991260541	91
